Planet,Mass,Radius
Mercury,0.00017386722866174922,0.0341226990432496
Venus,0.002565858798735511,0.08465282828847984
Earth,0.0031454162276080082,0.08921277905220165
Mars,0.0003382507903055848,0.047501818385273877
Jupiter,1.0,1.0
Saturn,0.2992623814541623,0.8430034129692833
Uranus,0.04573234984193888,0.3575085324232082
Neptune,0.05374077976817703,0.3463884070945001
Pluto,7.692307692307692e-06,0.0165752811503385
